id,name,price,rating,review_count,url
QXOIJVTUcXPN_2LOvevSxg,Bethany Boba Tea & Cafe,$,3.9,719,https://www.yelp.com/biz/bethany-boba-tea-and-cafe-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Tqr-Y5G2PdtkjtTxfoJwkA,Royal Tea,$,3.9,179,https://www.yelp.com/biz/royal-tea-arlington-3?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
9t80GhW7vH-P0MPyPWa3CQ,Rocketbelly,$,4.6,59,https://www.yelp.com/biz/rocketbelly-arlington-4?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Jp4POtQiqNq2_VB3ieYjBg,Zero Degrees,$$,3.7,471,https://www.yelp.com/biz/zero-degrees-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
37vpV-7vZhZ5_XUKlS7vtw,Phi Coffee & Tea,$$,3.4,154,https://www.yelp.com/biz/phi-coffee-and-tea-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
bXK0WgWRNKKuBhgvjYVsxg,Yen's Cafe,$,4.3,49,https://www.yelp.com/biz/yens-cafe-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
-cpdWpQY1FTOvwoUB6wq-w,iCafe,$,3.8,137,https://www.yelp.com/biz/icafe-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
jZUZtuZzaRRke-dWWGMbig,Savor Coffee Bar and Eatery,$,4.1,425,https://www.yelp.com/biz/savor-coffee-bar-and-eatery-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Z-ODnqamkifAD4LvrA-CMA,Real Thai Cuisine,$$,4.7,55,https://www.yelp.com/biz/real-thai-cuisine-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
chiW0ezMvEW3kzUeHAnS5Q,Roadrun'r Exotic Cereal Bar,,4.2,25,https://www.yelp.com/biz/roadrunr-exotic-cereal-bar-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
