id,name,price,rating,review_count,url
xrknhNNYNNSLfsHk5iX69g,Tapioca House,$,3.1,265,https://www.yelp.com/biz/tapioca-house-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
2WEp9uJef3bO9osNNInLCA,K-Bop,$,4.0,271,https://www.yelp.com/biz/k-bop-austin-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
tUcTrbsYcvG3C8cHZ37oMQ,Bao’d Up - Mueller Aldrich,$$,3.8,441,https://www.yelp.com/biz/bao-d-up-mueller-aldrich-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Phqwjk7x11WMAd-rVGbY0A,CoCo's Cafe,$,3.7,467,https://www.yelp.com/biz/cocos-cafe-austin-4?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
9fOJxRpRgObO_hsaySDc2w,Yaya Cafe,$$,3.8,280,https://www.yelp.com/biz/yaya-cafe-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
CXnwchIvuOkMVgROiwoz5w,UTea Pho,$$,4.4,154,https://www.yelp.com/biz/utea-pho-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
y0TYw6j_-91OGXnDVYZ6ew,Dawa Sushi,$$,4.7,225,https://www.yelp.com/biz/dawa-sushi-austin-4?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
HhMtM_Yp1DrR03lXBuqRXQ,Tastea Deli,,3.8,6,https://www.yelp.com/biz/tastea-deli-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
LoSheJfJ57sNedZj0GWO5A,Bar Peached,$$,4.4,520,https://www.yelp.com/biz/bar-peached-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
nCzHqCVpEZWIFmL-2Uov0Q,Kuway's Banh Mi,,4.5,88,https://www.yelp.com/biz/kuways-banh-mi-austin-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
jmmzYxurOoA_K_RtanzQow,Paperboy,$$,4.5,1065,https://www.yelp.com/biz/paperboy-austin?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
LA5QhXzorbHpjY6pjHmHSA,Two Hands,$$,4.2,397,https://www.yelp.com/biz/two-hands-austin-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
