id,name,price,rating,review_count,url
jTKZlCgvBwIIv8MDvTat3w,Tea & Tea,,4.5,4,https://www.yelp.com/biz/tea-and-tea-portland-12?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
tVfqlOBY-ZyCgzAEOakB6A,Junbi - Portland,,4.4,35,https://www.yelp.com/biz/junbi-portland-portland-5?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
1oaLbht4VGk6YHfV6QdQUA,Fat Straw,$,3.9,292,https://www.yelp.com/biz/fat-straw-portland?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
FoTGYcJ3PLiEnqmEsKh05Q,Mochinut - Hawthorne,,3.9,34,https://www.yelp.com/biz/mochinut-hawthorne-portland-3?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
50cctpAU60h5JCtKTA5Mgg,Meet Fresh,$$,4.1,76,https://www.yelp.com/biz/meet-fresh-portland-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Bb6iDR6UqXhswjPMWLsjHg,T4,$,3.7,43,https://www.yelp.com/biz/t4-portland-4?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
hNXC11fSAGTm9ksvmN_sPA,Olia Poke & Tea,$$,4.4,101,https://www.yelp.com/biz/olia-poke-and-tea-portland?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
hTxLxAFlPYU5x_c6IdnLNA,iThai Boba,,4.8,11,https://www.yelp.com/biz/ithai-boba-portland?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
2juGXuDFDij5esEadRTnww,Bobablastic,,4.7,3,https://www.yelp.com/biz/bobablastic-portland-21?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
RCbjiClUx4AtXSLDE-B0PA,You & I Boba Tea & Crepe,,4.0,1,https://www.yelp.com/biz/you-and-i-boba-tea-and-crepe-portland?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
k-q5J24jlKb8qdct-PwDuQ,Mikiko Mochi Donuts,$$,4.4,150,https://www.yelp.com/biz/mikiko-mochi-donuts-portland?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
