id,name,price,rating,review_count,url
DNV2snwCNpnhAbpjpBDX2w,Luna Hall DC,,4.2,47,https://www.yelp.com/biz/luna-hall-dc-washington-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
0tRQjjT4WfbWJd91to0Peg,Teaism - Penn Quarter,$$,3.7,836,https://www.yelp.com/biz/teaism-penn-quarter-washington-5?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
2_IAQEpbSs8ZngjsdczxJw,Teashi Café & Bubble Tea,,4.6,8,https://www.yelp.com/biz/teashi-caf%C3%A9-and-bubble-tea-washington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
CAfa7lXajp2jh1sNoAXAtg,Kung Fu Tea / TKK Fried Chicken,,3.4,11,https://www.yelp.com/biz/kung-fu-tea-tkk-fried-chicken-washington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
D_tXYPdRki1jj636wtEWxA,Teaism Dupont Circle,$$,3.8,765,https://www.yelp.com/biz/teaism-dupont-circle-washington-6?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
PnaMcfUuxrqrKm96egFPGg,E-Tea,$$,3.6,19,https://www.yelp.com/biz/e-tea-washington-4?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
XBSXQigFEXAPGu8m5M3PpA,54 Restaurant,$$,4.5,110,https://www.yelp.com/biz/54-restaurant-washington-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
8t7OTmoHjiZkxtrvC_gxQg,Teaism Lafayette Park,$$,3.5,158,https://www.yelp.com/biz/teaism-lafayette-park-washington-3?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
HCn8qdemi92v6amxwrdWZg,Poke Papa,$$,4.6,887,https://www.yelp.com/biz/poke-papa-washington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
h3sy5_aUiKxCrRFq_OwuZA,Poki DC,$$,4.0,67,https://www.yelp.com/biz/poki-dc-washington-5?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
M9MhHHorL39Gf-Mz7N9oEA,The Happy Eatery,$$,4.2,223,https://www.yelp.com/biz/the-happy-eatery-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
pFGZ1F7L8Ph4Y6WpYBgzuw,Awesome Pho,,3.7,3,https://www.yelp.com/biz/awesome-pho-washington-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
JiYBHEKElHmZsfottDnZUA,Jolt 'N Bolt Coffee & Tea House,$,3.3,205,https://www.yelp.com/biz/jolt-n-bolt-coffee-and-tea-house-washington-3?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
oMROdejQLnn6OFe-q94Rfg,Kong Dog,,4.0,21,https://www.yelp.com/biz/kong-dog-arlington-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
nIgDD3Gtq8Ya1ddJ1w1IMQ,TNR Cafe,$$,3.8,798,https://www.yelp.com/biz/tnr-cafe-arlington-6?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
EI7QZGCUfSl_2vd1VyLf1g,Kung Fu Tea x TKK Fried Chicken,,1.0,1,https://www.yelp.com/biz/kung-fu-tea-x-tkk-fried-chicken-washington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
irgFBxzwQSdzlKPLkOskBg,Poke It Up,$$,4.3,109,https://www.yelp.com/biz/poke-it-up-arlington?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
