id,name,price,rating,review_count,url
RHS8fAlLTStKvgwWBRyHKw,Blue Agave,$$,4.3,58,https://www.yelp.com/biz/blue-agave-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
WqcoV7frLLXwDsZwCXjkvg,El Pulgarcito de America,$,4.4,135,https://www.yelp.com/biz/el-pulgarcito-de-america-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
z8pjbPvsPMQYk4QkjsPNsg,Armando's Mexican Food,$,3.9,88,https://www.yelp.com/biz/armandos-mexican-food-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
TEivvHu4DLx3wVT7rfkJ8g,Miguel's Mex Tex Cafe,$$,3.5,330,https://www.yelp.com/biz/miguels-mex-tex-cafe-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
n8j5UTFyCoIUUS0XL7v5FA,Abuelo's Mexican Restaurant,$$,3.6,241,https://www.yelp.com/biz/abuelos-mexican-restaurant-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
F4Ye2MWTTkZ2ml1ynTDZRg,Monterrey Restaurant,$,4.0,73,https://www.yelp.com/biz/monterrey-restaurant-abilene-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
VytYYXY2VF6psForAkwz1g,Alfredo's Mexican Food,$,3.9,31,https://www.yelp.com/biz/alfredos-mexican-food-abilene-3?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Y2SFzPOuBVWzL6vMzAK-eg,La Familia Restaurant,$,4.3,29,https://www.yelp.com/biz/la-familia-restaurant-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
4LV2RXc_RozhP_yyvMYp3g,Don Luis Cafe,$,3.7,91,https://www.yelp.com/biz/don-luis-cafe-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
70qlPrV3qYUx7yV6d1Syrg,Casa Herrera,$,3.6,87,https://www.yelp.com/biz/casa-herrera-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
J-eBq0kjp3-EeCgw7oE2YQ,Alfredo's Mexican Food,$,4.0,64,https://www.yelp.com/biz/alfredos-mexican-food-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
JQB9zxk-blId92zRXP6nSg,Rojas Mexican Food,$,4.2,14,https://www.yelp.com/biz/rojas-mexican-food-abilene?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
