id,name,price,rating,review_count,url
ssJuFoJnnaVSg3_5GFunSw,Taqueria El Paso,$,4.6,55,https://www.yelp.com/biz/taqueria-el-paso-akron-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
DTx6UIdRcAKgppS8KTnSVw,El Patrón Tequilería & Cuisine,$$,3.8,65,https://www.yelp.com/biz/el-patr%C3%B3n-tequiler%C3%ADa-and-cuisine-akron?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
keGpmXQV-NeB0X70-GmY7A,Taqueria Tres Amigos,$,4.6,95,https://www.yelp.com/biz/taqueria-tres-amigos-akron-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
2GxIDnts1uoFWTpjqlFZ8g,El Rancho,$$,3.6,102,https://www.yelp.com/biz/el-rancho-akron?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
dnKRWqUHEBMgHORZznKyrw,El Rincon Mexican Restaurant,$$,3.6,58,https://www.yelp.com/biz/el-rincon-mexican-restaurant-akron-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
oJSKZAMqlJdSA760kBBiLQ,Mi Casa Mexican Restaurant,$,3.8,58,https://www.yelp.com/biz/mi-casa-mexican-restaurant-akron-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
e63KGjEh2xChZusUEHniNg,Mr Trompo,$,4.2,12,https://www.yelp.com/biz/mr-trompo-akron?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
MdreYFXOSMQSs6o6Al24tQ,Baxter's Bar,$$,3.3,75,https://www.yelp.com/biz/baxters-bar-akron?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
tDQ50OUbRRpR4CjvRuk1YA,dba - dante boccuzzi akron,$$$,3.9,205,https://www.yelp.com/biz/dba-dante-boccuzzi-akron-akron-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
k4BT44zTOpfmk23eP9_nSA,Frank's Place On Market,$$,3.8,44,https://www.yelp.com/biz/franks-place-on-market-akron?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
Vl77z6l7H2HEedzgOAHM5w,Mr Zubs Deli,$,3.9,180,https://www.yelp.com/biz/mr-zubs-deli-akron?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
JZGmFF4K2S1XaxIR6snqwQ,Piada Italian Street Food,$,3.3,63,https://www.yelp.com/biz/piada-italian-street-food-akron-2?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
34VwfXV0t6jBmj7N8F5GkA,Chipotle Mexican Grill,$,2.4,19,https://www.yelp.com/biz/chipotle-mexican-grill-akron-6?adjust_creative=LtZwAP4ZOvAx3UliA5eqbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtZwAP4ZOvAx3UliA5eqbg
