id,name,price,rating,review_count,url,transactions,is_closed,address1,address2,address3,city,zip_code,country,state,display_address,category_1_type,category_1_title,category_2_type,category_2_title,category_3_type,category_3_title
U9D0vqEP4QrJfJYs8mr3DA,Oiistar,$$,4.2,1142,https://www.yelp.com/biz/oiistar-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,1385 N Milwaukee Ave,,,Chicago,60622,US,IL,"1385 N Milwaukee Ave, Chicago, IL 60622",asianfusion,Asian Fusion,ramen,Ramen,,
o6O9gCksHBGG7-m0PwRH_g,Urbanbelly,$$,4.0,319,https://www.yelp.com/biz/urbanbelly-chicago-26?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1542 N Damen Ave,,,Chicago,60622,US,IL,"1542 N Damen Ave, Chicago, IL 60622",asianfusion,Asian Fusion,ramen,Ramen,,
bZ7lvi5_BQ6UKK10OKPV7Q,Sushi Taku,$$,4.3,1124,https://www.yelp.com/biz/sushi-taku-chicago-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1904 W Division St,,,Chicago,60622,US,IL,"1904 W Division St, Chicago, IL 60622",japanese,Japanese,sushi,Sushi Bars,,
ruWJerAc9VW23GvegYddnQ,Gaijin,$$,4.3,648,https://www.yelp.com/biz/gaijin-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,950 W Lake St,,,Chicago,60607,US,IL,"950 W Lake St, Chicago, IL 60607",japanese,Japanese,,,,
F95agIcsD5g1bykGVTVWZQ,Kizuki Ramen & Izakaya,$$,3.8,895,https://www.yelp.com/biz/kizuki-ramen-and-izakaya-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,1482 N Milwaukee Ave,,,Chicago,60622,US,IL,"1482 N Milwaukee Ave, Chicago, IL 60622",ramen,Ramen,izakaya,Izakaya,,
87bmC0ZQ3pVU-wxRGtRkkQ,Sushi Plus Rotary Sushi Bar - Chinatown,$$,4.4,454,https://www.yelp.com/biz/sushi-plus-rotary-sushi-bar-chinatown-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['pickup'],False,2131 S Archer Ave,,,Chicago,60616,US,IL,"2131 S Archer Ave, Chicago, IL 60616",sushi,Sushi Bars,ramen,Ramen,,
UzksnYYQvh2tThSGTqUslA,2AM Izakaya,$$,4.6,41,https://www.yelp.com/biz/2am-izakaya-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'restaurant_reservation', 'pickup']",False,2218 N Lincoln Ave,,,Chicago,60614,US,IL,"2218 N Lincoln Ave, Chicago, IL 60614",japanese,Japanese,sushi,Sushi Bars,chinese,Chinese
q7SQnw2xVHjWuyQXL3VHUg,KAI ZAN,$$$,4.6,1266,https://www.yelp.com/biz/kai-zan-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'restaurant_reservation']",False,2557 W Chicago Ave,,,Chicago,60622,US,IL,"2557 W Chicago Ave, Chicago, IL 60622",asianfusion,Asian Fusion,japanese,Japanese,sushi,Sushi Bars
lgjRFg3M-1N416W41DHsTQ,Ramen Wasabi,$$,4.2,2175,https://www.yelp.com/biz/ramen-wasabi-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,2101 N Milwaukee Ave,,,Chicago,60647,US,IL,"2101 N Milwaukee Ave, Chicago, IL 60647",ramen,Ramen,tapasmallplates,Tapas/Small Plates,izakaya,Izakaya
K7WtATWZfa3MW3oLhnvwhg,Gyuro Ramen,$$,4.4,187,https://www.yelp.com/biz/gyuro-ramen-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,171 N Aberdeen St,,,Chicago,60607,US,IL,"171 N Aberdeen St, Chicago, IL 60607",ramen,Ramen,,,,
zQbT3eRwCyxGP-6gNDhg2Q,Monster Ramen,$$,4.3,101,https://www.yelp.com/biz/monster-ramen-chicago?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,3435 W Fullerton Ave,,,Chicago,60647,US,IL,"3435 W Fullerton Ave, Chicago, IL 60647",ramen,Ramen,noodles,Noodles,asianfusion,Asian Fusion
NeTbL8JfcZikRanoWfRu0Q,Kokoro,$$,4.6,294,https://www.yelp.com/biz/kokoro-houston-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,409 Travis St,Ste 366,,Houston,77002,US,TX,"409 Travis St, Ste 366, Houston, TX 77002",sushi,Sushi Bars,izakaya,Izakaya,,
tN0eBAxuz1xuIpcurzwEyw,Sapporo Japanese Sushi & Bar,$$,4.2,173,https://www.yelp.com/biz/sapporo-japanese-sushi-and-bar-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,801 Congress Ave,Unit 101,,Houston,77002,US,TX,"801 Congress Ave, Unit 101, Houston, TX 77002",sushi,Sushi Bars,japanese,Japanese,,
oViXbqEGv9j951j0s0KfWw,Neo,$$$$,4.9,36,https://www.yelp.com/biz/neo-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,1711 Indiana St,,,Houston,77006,US,TX,"1711 Indiana St, Houston, TX 77006",japanese,Japanese,,,,
MtrXTHsxOCw0iCtOlPhrGQ,JINYA Ramen Bar - Houston,$$,4.3,3531,https://www.yelp.com/biz/jinya-ramen-bar-houston-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,3201 Louisiana St,Ste 105,,Houston,77006,US,TX,"3201 Louisiana St, Ste 105, Houston, TX 77006",ramen,Ramen,cocktailbars,Cocktail Bars,,
ZdXWrc7G2DtQjHUn6L5TmA,Gyu-Kaku Japanese BBQ,$$$,4.0,1650,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,510 Gray St,Ste A,,Houston,77002,US,TX,"510 Gray St, Ste A, Houston, TX 77002",japanese,Japanese,bbq,Barbeque,asianfusion,Asian Fusion
OXAYCtgoCErJB6NrMDCdIg,Soto,$$$,4.2,224,https://www.yelp.com/biz/soto-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,224 Westheimer Rd,,,Houston,77006,US,TX,"224 Westheimer Rd, Houston, TX 77006",japanese,Japanese,sushi,Sushi Bars,,
Wxiy13g6o183mG3hAOQ4_A,Miyabi Sushi & Ramen,$$,4.5,44,https://www.yelp.com/biz/miyabi-sushi-and-ramen-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,920 Studemont St,Ste 300,,Houston,77007,US,TX,"920 Studemont St, Ste 300, Houston, TX 77007",sushi,Sushi Bars,ramen,Ramen,,
rlThWoVGfvvfCbvHPyHtSg,Oheya Houston,$$$$,4.5,33,https://www.yelp.com/biz/oheya-by-uchi-houston-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,904 Westheimer Rd,Ste A,,Houston,77006,US,TX,"904 Westheimer Rd, Ste A, Houston, TX 77006",sushi,Sushi Bars,japanese,Japanese,,
hsfOyu-DvyqsXOF4rpT6sw,Sushi By The Heights,$$,4.3,191,https://www.yelp.com/biz/sushi-by-the-heights-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'restaurant_reservation', 'delivery']",False,1111 Studewood St,Ste B,,Houston,77008,US,TX,"1111 Studewood St, Ste B, Houston, TX 77008",sushi,Sushi Bars,japanese,Japanese,cocktailbars,Cocktail Bars
Ykv-1y1BlJr_-8OSd28eUQ,Handies Douzo,$$,4.6,400,https://www.yelp.com/biz/handies-douzo-houston-6?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,3510 White Oak Dr,,,Houston,77007,US,TX,"3510 White Oak Dr, Houston, TX 77007",sushi,Sushi Bars,japanese,Japanese,,
aQHTxkWt5UJjZK8tIkztGg,The Fish,$$,4.0,518,https://www.yelp.com/biz/the-fish-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,309 Gray St,Ste 107,,Houston,77002,US,TX,"309 Gray St, Ste 107, Houston, TX 77002",sushi,Sushi Bars,japanese,Japanese,,
09QFIGF-IOCSSJhdFZ5xAA,Stick Talk Cajun Hibachi,$$$,3.7,35,https://www.yelp.com/biz/stick-talk-cajun-hibachi-houston-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,502 Elgin St,,,Houston,77006,US,TX,"502 Elgin St, Houston, TX 77006",cajun,Cajun/Creole,japanese,Japanese,foodtrucks,Food Trucks
_xkd2POHr8wK2kbSGHywzA,Kiko Sushi Ramen,$$,4.4,146,https://www.yelp.com/biz/kiko-sushi-ramen-jacksonville-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,7111 Bonneval Rd,Ste 2,,Jacksonville,32256,US,FL,"7111 Bonneval Rd, Ste 2, Jacksonville, FL 32256",ramen,Ramen,sushi,Sushi Bars,bubbletea,Bubble Tea
10zu8EQg2hDIwGZ060_S_A,Sake House 2,$$,3.9,201,https://www.yelp.com/biz/sake-house-2-jacksonville?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1478 Riverplace Blvd,,,Jacksonville,32207,US,FL,"1478 Riverplace Blvd, Jacksonville, FL 32207",sushi,Sushi Bars,japanese,Japanese,,
