Metro Name,Population,Households,Average HHI,25th Percentile,Median HHI,75th Percentile,90th Percentile,99th Percentile
"Abilene, TX",217882,97160,"$78,788.97","$21,601.00","$44,688.00","$100,040.00","$241,304.00",--
"Akron, OH",696955,314052,"$85,317.72","$39,099.00","$71,456.00","$114,262.00","$195,417.00",--
"Albany-Schenectady-Troy, NY",779727,372843,"$93,216.03","$36,106.00","$67,402.00","$143,815.00","$198,150.00",--
"Albuquerque, NM",946438,403492,"$80,929.21","$29,760.00","$55,061.00","$100,700.00","$165,751.00","$459,249.00"
"Allentown-Bethlehem-Easton, PA/NJ",809064,300056,"$85,212.98","$35,936.00","$57,007.00","$110,125.00","$186,532.00",--
"Amarillo, TX",311064,120722,"$88,768.34","$40,000.00","$85,039.00","$114,200.00","$175,425.00",--
"Ann Arbor, MI",403619,175001,"$98,034.12","$42,802.00","$75,023.00","$116,951.00","$229,260.00",--
"Appleton, WI",270606,110034,"$103,695.19","$54,926.00","$81,507.00","$145,567.00","$226,000.00",--
"Oshkosh-Neenah, WI",191750,71782,"$77,357.53","$32,454.00","$64,828.00","$89,188.00","$137,114.00",--
"Asheville, NC",526765,201211,"$95,825.03","$33,156.00","$75,005.00","$136,498.00","$234,500.00",--
"Athens-Clark County, GA",196999,72879,"$62,907.25","$22,750.00","$40,005.00","$91,101.00","$142,027.00",--
"Atlanta-Sandy Springs-Marietta, GA",6094467,2419334,"$107,678.03","$36,360.00","$71,567.00","$130,000.00","$212,622.00","$677,389.00"
"Atlantic City, NJ",227577,98346,"$88,398.80","$37,071.00","$81,501.00","$113,540.00","$175,403.00",--
"Auburn-Opelika, AL",324974,135629,"$114,663.90","$25,000.00","$50,000.00","$104,065.00","$205,300.00",--
"Augusta-Richmond County, GA-SC",572750,233525,"$63,184.55","$24,410.00","$42,000.00","$82,675.00","$148,003.00",--
"Austin-Round Rock, TX",1733081,674835,"$122,113.62","$57,052.00","$96,002.00","$152,188.00","$229,940.00",--
"Bakersfield, CA",1031887,333510,"$82,351.03","$27,264.00","$51,200.00","$90,803.00","$175,550.00",--
"Baltimore-Towson-Columbia, MD",2763320,1096959,"$112,918.96","$36,176.00","$76,712.00","$149,525.00","$241,105.00","$502,738.00"
"Bangor, ME",167415,70508,"$76,450.42","$29,224.00","$61,051.00","$105,147.00","$160,070.00",--
"Barnstable Town, MA",186737,85266,"$146,003.14","$73,710.00","$93,965.00","$203,462.00","$338,004.00",--
"Baton Rouge, LA",932047,351378,"$96,145.56","$29,413.00","$65,813.00","$127,305.00","$194,210.00","$516,412.00"
"Battle Creek, MI",282330,120280,"$77,869.24","$23,485.00","$55,179.00","$94,299.00","$164,280.00",--
"Beaumont-Port Arthur, TX",410530,145762,"$64,640.51","$19,200.00","$43,957.00","$63,500.00","$100,000.00",--
"Niles-Benton Harbor, MI",137827,53635,"$95,898.46","$56,000.00","$78,120.00","$130,581.00","$193,268.00",--
"Billings, MT",168208,68254,"$82,213.16","$31,520.00","$53,400.00","$112,606.00","$171,012.00",--
"Bend, OR",367464,147792,"$102,917.44","$39,500.00","$78,000.00","$133,935.00","$207,034.00",--
"Binghamton, NY",300768,130622,"$87,150.33","$27,167.00","$62,400.00","$113,075.00","$172,710.00",--
"Birmingham-Hoover, AL",1198152,481258,"$85,476.36","$28,803.00","$54,193.00","$105,070.00","$173,526.00","$607,640.00"
"Blacksburg-Christiansburg-Radford, VA",181225,94970,"$124,444.65","$40,512.00","$65,932.00","$125,794.00","$255,714.00",--
"Bloomington, IN",183989,68524,"$110,641.98","$56,014.00","$113,918.00","$157,899.00","$179,811.00",--
"Bloomington, IL",248530,97564,"$154,646.57","$35,000.00","$97,300.00","$175,020.00","$331,351.00",--
"Boise City-Nampa, ID",751773,292240,"$98,248.70","$44,257.00","$73,159.00","$122,580.00","$208,546.00","$381,550.00"
"Boston-Cambridge-Newton, MA-NH",4736698,1943852,"$140,914.47","$48,068.00","$100,000.00","$180,113.00","$286,836.00","$699,700.00"
"Bowling Green, KY",260188,100350,"$77,543.02","$30,610.00","$50,251.00","$90,030.00","$164,200.00",--
"Bridgeport-Stamford-Norwalk, CT",1050945,389095,"$149,197.74","$51,800.00","$97,310.00","$166,247.00","$340,880.00",--
"Brownsville-Harlingen, TX",424764,130589,"$55,194.44","$22,740.00","$44,344.00","$75,600.00","$108,200.00",--
"Buffalo-Niagara Falls, NY",1074260,451537,"$79,779.95","$30,341.00","$55,380.00","$107,580.00","$184,604.00",--
"Burlington, NC",410128,176955,"$58,146.72","$18,320.00","$48,000.00","$93,242.00","$118,000.00",--
"California-Lexington Park, MD",223918,70809,"$140,081.50","$46,555.00","$155,000.00","$210,268.00","$257,200.00",--
"Burlington-South Burlington, VT",219143,96514,"$110,560.82","$42,000.00","$74,481.00","$142,981.00","$204,952.00","$592,645.00"
"Canton-Massillon, OH",358012,132423,"$78,214.78","$30,000.00","$70,266.00","$97,795.00","$173,917.00",--
"Carbondale-Marion, IL",116329,44892,"$70,528.07","$15,600.00","$66,500.00","$106,260.00","$190,000.00",--
"Cedar Rapids, IA",264788,110790,"$96,800.68","$37,285.00","$78,251.00","$136,512.00","$178,850.00",--
"Chambersburg-Waynesboro, PA",291354,100302,"$107,439.47","$49,570.00","$70,741.00","$117,800.00","$165,800.00",--
"Champaign-Urbana, IL",231902,94251,"$88,925.67","$31,888.00","$65,000.00","$119,001.00","$200,040.00",--
"Charleston-North Charleston, SC",201424,91743,"$84,699.61","$20,802.00","$40,735.00","$91,000.00","$141,012.00",--
"Charleston, WV",681589,317914,"$104,801.29","$32,000.00","$70,000.00","$120,019.00","$211,522.00",--
"Charlotte-Gastonia-Concord, NC/SC",2599978,1054823,"$101,159.17","$43,015.00","$79,004.00","$126,024.00","$215,236.00","$424,515.00"
"Charlottesville, VA",306474,119890,"$140,256.97","$26,275.00","$91,000.00","$156,657.00","$295,336.00",--
"Chattanooga, TN/GA",535368,240777,"$99,186.89","$30,000.00","$57,500.00","$138,052.00","$197,986.00",--
"Chicago-Naperville-Joliet, IL-IN-WI",9380420,3654610,"$112,650.65","$38,640.00","$80,599.00","$140,591.00","$229,009.00","$677,000.00"
