Metro Name,Population,Workers,Average Individual Income,25th Percentile,Median Individual Income,75th Percentile,90th Percentile,99th Percentile
"Abilene, TX",217882,113023,"$56,983.36","$19,000.00","$36,000.00","$75,335.00","$150,035.00",--
"Akron, OH",696955,402600,"$56,240.72","$19,000.00","$48,026.00","$74,051.00","$113,217.00",--
"Albany-Schenectady-Troy, NY",779727,410709,"$63,514.01","$23,231.00","$50,032.00","$90,010.00","$146,246.00",--
"Albuquerque, NM",946438,479945,"$54,849.34","$18,022.00","$36,500.00","$67,010.00","$110,000.00","$299,735.00"
"Allentown-Bethlehem-Easton, PA/NJ",809064,414836,"$52,208.78","$19,900.00","$36,952.00","$65,100.00","$104,500.00",--
"Amarillo, TX",311064,174246,"$57,250.46","$28,600.00","$47,000.00","$81,575.00","$120,250.00",--
"Ann Arbor, MI",403619,217262,"$62,372.42","$26,500.00","$45,810.00","$76,481.00","$129,140.00",--
"Appleton, WI",270606,155983,"$60,620.91","$28,000.00","$45,021.00","$80,040.00","$130,537.00",--
"Oshkosh-Neenah, WI",191750,101110,"$45,739.61","$11,165.00","$40,003.00","$51,215.00","$80,101.00",--
"Asheville, NC",526765,258500,"$63,647.42","$22,486.00","$44,530.00","$80,921.00","$148,450.00",--
"Athens-Clark County, GA",196999,106089,"$40,193.54","$14,000.00","$28,708.00","$53,002.00","$76,011.00",--
"Atlanta-Sandy Springs-Marietta, GA",6094467,3421403,"$70,356.69","$27,002.00","$47,000.00","$78,880.00","$143,700.00","$531,500.00"
"Atlantic City, NJ",227577,125599,"$56,279.62","$30,000.00","$50,000.00","$74,605.00","$95,010.00",--
"Auburn-Opelika, AL",324974,146348,"$96,211.11","$24,400.00","$40,000.00","$76,330.00","$130,600.00",--
"Augusta-Richmond County, GA-SC",572750,273099,"$45,500.08","$15,000.00","$35,030.00","$65,795.00","$98,003.00",--
"Austin-Round Rock, TX",1733081,1004409,"$77,368.62","$30,000.00","$55,015.00","$89,705.00","$168,919.00","$350,700.00"
"Bakersfield, CA",1031887,430341,"$55,766.40","$23,000.00","$39,000.00","$65,510.00","$100,012.00",--
"Baltimore-Towson-Columbia, MD",2763320,1550896,"$71,801.99","$27,386.00","$52,000.00","$94,301.00","$146,123.00","$379,440.00"
"Bangor, ME",167415,88815,"$51,703.70","$23,400.00","$43,245.00","$70,462.00","$106,760.00",--
"Barnstable Town, MA",186737,104336,"$93,014.82","$31,011.00","$52,035.00","$94,118.00","$284,018.00",--
"Baton Rouge, LA",932047,452726,"$66,510.73","$22,100.00","$47,402.00","$82,001.00","$135,509.00","$307,005.00"
"Battle Creek, MI",282330,146990,"$53,724.46","$23,400.00","$35,700.00","$60,001.00","$114,401.00",--
"Beaumont-Port Arthur, TX",410530,138636,"$45,786.66","$11,000.00","$23,400.00","$39,210.00","$59,000.00",--
"Niles-Benton Harbor, MI",137827,56088,"$51,821.85","$14,880.00","$27,000.00","$80,000.00","$127,001.00",--
"Billings, MT",168208,93652,"$53,862.54","$25,201.00","$44,886.00","$66,147.00","$110,010.00",--
"Bend, OR",367464,224570,"$57,650.68","$23,930.00","$45,000.00","$69,847.00","$102,000.00",--
"Binghamton, NY",300768,155877,"$63,375.99","$27,167.00","$50,059.00","$73,252.00","$127,500.00",--
"Birmingham-Hoover, AL",1198152,609785,"$61,627.46","$24,500.00","$43,759.00","$75,235.00","$116,026.00","$375,075.00"
"Blacksburg-Christiansburg-Radford, VA",181225,115858,"$93,967.77","$30,000.00","$62,913.00","$81,035.00","$134,010.00",--
