id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
SP4bvMvxel_UPdof_er3HA,taco-mahal-new-york,Taco Mahal,https://s3-media2.fl.yelpcdn.com/bphoto/wo7f5lvsgtQ5fOeWw6z83A/o.jpg,False,https://www.yelp.com/biz/taco-mahal-new-york?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,886,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'latin', 'title': 'Latin American'}]",4.4,"{'latitude': 40.73235768476899, 'longitude': -74.00332645767203}","['delivery', 'pickup']",$$,"{'address1': '73 7th Ave S', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['73 7th Ave S', 'New York, NY 10014']}",+16467191553,(646) 719-1553,3077.683719637479
16ZnHpuaaBt92XWeJHCC5A,olio-e-più-new-york-7,Olio e Più,https://s3-media4.fl.yelpcdn.com/bphoto/CUpPgz_Q4QBHxxxxDJJTTA/o.jpg,False,https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,5393,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.733798036104304, 'longitude': -73.99977392649927}","['delivery', 'pickup']",$$,"{'address1': '3 Greenwich Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['3 Greenwich Ave', 'New York, NY 10014']}",+12122436546,(212) 243-6546,3175.6979398693993
NOh24SMS6k4pzNv8Ds7KDg,cafe-habana-new-york-4,Cafe Habana,https://s3-media3.fl.yelpcdn.com/bphoto/cUHxmLdN0XyZi6AgvaMb3Q/o.jpg,False,https://www.yelp.com/biz/cafe-habana-new-york-4?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,3311,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 40.72293, 'longitude': -73.99419}","['pickup', 'delivery']",$$,"{'address1': '17 Prince St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['17 Prince St', 'New York, NY 10012']}",+12126252001,(212) 625-2001,1933.4305928935212
0CjK3esfpFcxIopebzjFxA,joes-shanghai-new-york-2,Joe's Shanghai,https://s3-media2.fl.yelpcdn.com/bphoto/ORdfWyMHOtWoL6bYHotsaA/o.jpg,False,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,7327,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.8,"{'latitude': 40.7156608, 'longitude': -73.9967012}","['pickup', 'delivery']",$$,"{'address1': '46 Bowery St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['46 Bowery St', 'New York, NY 10013']}",+12122338888,(212) 233-8888,1143.4057924396468
FlZ1zdVEKWv7dwqm8Uw8-w,raku-new-york-7,Raku,https://s3-media4.fl.yelpcdn.com/bphoto/GEbZnH1jR4n7D5WOJ3urPg/o.jpg,False,https://www.yelp.com/biz/raku-new-york-7?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,1635,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 40.7264988089246, 'longitude': -73.9866526052356}","['pickup', 'delivery']",$$,"{'address1': '342 E 6th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['342 E 6th St', 'New York, NY 10003']}",+12122281324,(212) 228-1324,2416.6027147072045
3C6c_zqRz_U2AyeN_7LTsg,himalayan-yak-jackson-heights,Himalayan Yak,https://s3-media2.fl.yelpcdn.com/bphoto/NKWZNVyfLNbLvDs6oQNtVw/o.jpg,False,https://www.yelp.com/biz/himalayan-yak-jackson-heights?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,719,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}]",3.8,"{'latitude': 40.746494, 'longitude': -73.892766}","['delivery', 'pickup']",$$,"{'address1': '72-20 Roosevelt Ave', 'address2': '', 'address3': '', 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['72-20 Roosevelt Ave', 'Jackson Heights, NY 11372']}",+17187791119,(718) 779-1119,3759.883601926704
1ZKbUeFAs0ltSnAYq4ELKw,trattoria-l-incontro-astoria-6,Trattoria L'incontro,https://s3-media2.fl.yelpcdn.com/bphoto/Af5eeeRiRvqDL6Qrd7CMIA/o.jpg,False,https://www.yelp.com/biz/trattoria-l-incontro-astoria-6?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,1130,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 40.77648209257472, 'longitude': -73.91059675544598}","['delivery', 'pickup']",$$$,"{'address1': '21-76 31st St', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['21-76 31st St', 'Astoria, NY 11105']}",+17187213532,(718) 721-3532,6973.724676162797
dgaNriM1VdI2nGochhHE_g,casa-enrique-long-island-city,Casa Enrique,https://s3-media4.fl.yelpcdn.com/bphoto/KOagDN7rI9j6i56juS06gw/o.jpg,False,https://www.yelp.com/biz/casa-enrique-long-island-city?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,1542,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.2,"{'latitude': 40.743404338358, 'longitude': -73.954350367693}","['delivery', 'pickup']",$$,"{'address1': '5-48 49th Ave', 'address2': '', 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['5-48 49th Ave', 'Long Island City, NY 11101']}",+13474486040,(347) 448-6040,8655.400590675988
jWuUibgnTGsJibOrr6UUSw,haidilao-hot-pot-flushing-flushing,Haidilao Hot Pot Flushing,https://s3-media3.fl.yelpcdn.com/bphoto/WiGBUxZsBHYIMiUMQTTH7Q/o.jpg,False,https://www.yelp.com/biz/haidilao-hot-pot-flushing-flushing?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,2250,"[{'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.8,"{'latitude': 40.76099, 'longitude': -73.827853}","['delivery', 'pickup']",$$$,"{'address1': '138-23 39th Ave', 'address2': None, 'address3': None, 'city': 'Flushing', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['138-23 39th Ave', 'Flushing, NY 11354']}",+19172318888,(917) 231-8888,3889.222399034586
22CRLIEfJWIO-8RjEiecAg,akino-elmhurst,Akino,https://s3-media1.fl.yelpcdn.com/bphoto/yLmrlUeqX6slH5STVJhZoQ/o.jpg,False,https://www.yelp.com/biz/akino-elmhurst?adjust_creative=mUhtpg0LANTRd76OAeN1RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mUhtpg0LANTRd76OAeN1RQ,1168,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.2,"{'latitude': 40.741236, 'longitude': -73.881306}","['delivery', 'pickup']",$$$,"{'address1': '82-80 Broadway', 'address2': '', 'address3': None, 'city': 'Elmhurst', 'zip_code': '11373', 'country': 'US', 'state': 'NY', 'display_address': ['82-80 Broadway', 'Elmhurst, NY 11373']}",+17187798280,(718) 779-8280,2630.3370203265404
