id,name,price,rating,review_count,url,transactions,is_closed,location,categories
ijDEv9Ru_HaEY36DEoPNAw,Kintaro Ramen,$$,4.3,269,https://www.yelp.com/biz/kintaro-ramen-arlington?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '101 E Abram St', 'address2': 'Ste 130', 'address3': '', 'city': 'Arlington', 'zip_code': '76010', 'country': 'US', 'state': 'TX', 'display_address': ['101 E Abram St', 'Ste 130', 'Arlington, TX 76010']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'noodles', 'title': 'Noodles'}]"
kBoAE3Za9bKVyoBUq94bYw,Piranha Killer Ramen,$$,4.2,780,https://www.yelp.com/biz/piranha-killer-ramen-arlington-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '309 Curtis Mathes Way', 'address2': 'Ste 149', 'address3': None, 'city': 'Arlington', 'zip_code': '76018', 'country': 'US', 'state': 'TX', 'display_address': ['309 Curtis Mathes Way', 'Ste 149', 'Arlington, TX 76018']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
X6UYWcbBjO8WnrfdGBVx5g,Sumo Ramen,$$,4.2,95,https://www.yelp.com/biz/sumo-ramen-arlington-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '1030 W Arkansas Ln', 'address2': 'Ste 204', 'address3': None, 'city': 'Arlington', 'zip_code': '76013', 'country': 'US', 'state': 'TX', 'display_address': ['1030 W Arkansas Ln', 'Ste 204', 'Arlington, TX 76013']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
AtPEiOJBBa7QlMXKGwhDeg,Ahi Poke Bowl,$$,4.4,529,https://www.yelp.com/biz/ahi-poke-bowl-arlington-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '3701 S Cooper St', 'address2': 'Ste 169', 'address3': '', 'city': 'Arlington', 'zip_code': '76015', 'country': 'US', 'state': 'TX', 'display_address': ['3701 S Cooper St', 'Ste 169', 'Arlington, TX 76015']}","[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]"
TQr99VUilu49kdWlBQn0ZQ,Sushi & Ramen Japanese Restaurant,$,4.0,167,https://www.yelp.com/biz/sushi-and-ramen-japanese-restaurant-arlington?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '803 W Park Row Dr', 'address2': '', 'address3': '', 'city': 'Arlington', 'zip_code': '76013', 'country': 'US', 'state': 'TX', 'display_address': ['803 W Park Row Dr', 'Arlington, TX 76013']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]"
GF1z_MshUZfxZrxc3alvwA,Little Tokyo,$$,4.1,182,https://www.yelp.com/biz/little-tokyo-arlington-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '3901 W Arkansas Ln', 'address2': 'Ste 103', 'address3': '', 'city': 'Arlington', 'zip_code': '76016', 'country': 'US', 'state': 'TX', 'display_address': ['3901 W Arkansas Ln', 'Ste 103', 'Arlington, TX 76016']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
bQNp33h30ICf4q_vD-t1Sg,Ninja Ramen,$$,3.9,524,https://www.yelp.com/biz/ninja-ramen-arlington?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '4654 S Cooper St', 'address2': 'Ste 340', 'address3': None, 'city': 'Arlington', 'zip_code': '76017', 'country': 'US', 'state': 'TX', 'display_address': ['4654 S Cooper St', 'Ste 340', 'Arlington, TX 76017']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
T2Mi7IpWOyAR1JG18yAT6Q,King Buffet,,3.6,43,https://www.yelp.com/biz/king-buffet-arlington?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '300 E Interstate 20', 'address2': '', 'address3': None, 'city': 'Arlington', 'zip_code': '76018', 'country': 'US', 'state': 'TX', 'display_address': ['300 E Interstate 20', 'Arlington, TX 76018']}","[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]"
ikEi3LcTAldWBPgVYsPKrA,Sushi Domo,$$,3.9,507,https://www.yelp.com/biz/sushi-domo-arlington?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '3330 Matlock Rd', 'address2': '', 'address3': '', 'city': 'Arlington', 'zip_code': '76015', 'country': 'US', 'state': 'TX', 'display_address': ['3330 Matlock Rd', 'Arlington, TX 76015']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
Nw00vHONgJzgvl59NNzceA,Sushi Cafe,$$,4.3,265,https://www.yelp.com/biz/sushi-cafe-arlington?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['pickup'],False,"{'address1': '3610 S Cooper St', 'address2': 'Ste 104', 'address3': '', 'city': 'Arlington', 'zip_code': '76015', 'country': 'US', 'state': 'TX', 'display_address': ['3610 S Cooper St', 'Ste 104', 'Arlington, TX 76015']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
