id,name,price,rating,review_count,url,transactions,is_closed,location,categories
Hz-wBA1cIFGESSYTP07prA,Prefecture Japanese Steakhouse,,4.5,23,https://www.yelp.com/biz/prefecture-japanese-steakhouse-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '2277 Peachtree Rd', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30309', 'country': 'US', 'state': 'GA', 'display_address': ['2277 Peachtree Rd', 'Atlanta, GA 30309']}","[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'japanese', 'title': 'Japanese'}]"
1B-ODb4rJeCygAUdoIr44g,Okiboru Tsukemen & Ramen of Buckhead,,4.5,73,https://www.yelp.com/biz/okiboru-tsukemen-and-ramen-of-buckhead-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '2277 Peachtree St NE', 'address2': 'Ste B', 'address3': None, 'city': 'Atlanta', 'zip_code': '30309', 'country': 'US', 'state': 'GA', 'display_address': ['2277 Peachtree St NE', 'Ste B', 'Atlanta, GA 30309']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
DiroFEofIGnt3HUmSVOBfw,Gyu-Kaku Japanese BBQ,,3.7,379,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '265 18th St NW', 'address2': 'Ste 4130', 'address3': None, 'city': 'Atlanta', 'zip_code': '30363', 'country': 'US', 'state': 'GA', 'display_address': ['265 18th St NW', 'Ste 4130', 'Atlanta, GA 30363']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
glqYGq9whVaVpHvIs-bJsg,SriThai Thai Kitchen & Sushi Bar -Emory,$$,4.3,73,https://www.yelp.com/biz/srithai-thai-kitchen-and-sushi-bar-emory-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '1540 Avenue Pl', 'address2': 'unit B2-280', 'address3': None, 'city': 'Atlanta', 'zip_code': '30329', 'country': 'US', 'state': 'GA', 'display_address': ['1540 Avenue Pl', 'unit B2-280', 'Atlanta, GA 30329']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'japanese', 'title': 'Japanese'}]"
smNe8YIzbKO7MQlXfANDvg,Brush Sushi,,4.3,18,https://www.yelp.com/biz/brush-sushi-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '3009 Peachtree Rd NE', 'address2': 'Ste 140', 'address3': '', 'city': 'Atlanta', 'zip_code': '30305', 'country': 'US', 'state': 'GA', 'display_address': ['3009 Peachtree Rd NE', 'Ste 140', 'Atlanta, GA 30305']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
-U_pE595LFz9umXSqQJHGg,Wok Chi,$$,4.3,125,https://www.yelp.com/biz/wok-chi-atlanta-4?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '800 Marietta St NW', 'address2': 'Ste F', 'address3': '', 'city': 'Atlanta', 'zip_code': '30318', 'country': 'US', 'state': 'GA', 'display_address': ['800 Marietta St NW', 'Ste F', 'Atlanta, GA 30318']}","[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'japanese', 'title': 'Japanese'}]"
F7d32-PQcfIEX-bAaMjV_Q,Nakato Japanese Restaurant,$$$,3.8,880,https://www.yelp.com/biz/nakato-japanese-restaurant-atlanta-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '1776 Cheshire Bridge Rd NE', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30324', 'country': 'US', 'state': 'GA', 'display_address': ['1776 Cheshire Bridge Rd NE', 'Atlanta, GA 30324']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]"
ZKZGgOsRPpAjc9oMBT_uBw,Kinnotori Ramen Bar,$$,4.5,239,https://www.yelp.com/biz/kinnotori-ramen-bar-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '650 Ponce De Leon Ave NE', 'address2': 'Ste 810A', 'address3': None, 'city': 'Atlanta', 'zip_code': '30308', 'country': 'US', 'state': 'GA', 'display_address': ['650 Ponce De Leon Ave NE', 'Ste 810A', 'Atlanta, GA 30308']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
46idfea6m0NFywvsdg_rnA,Yakitori Kona,,4.1,7,https://www.yelp.com/biz/yakitori-kona-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1004 Virginia Ave NE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30306', 'country': 'US', 'state': 'GA', 'display_address': ['1004 Virginia Ave NE', 'Atlanta, GA 30306']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'seafood', 'title': 'Seafood'}]"
_lEHolD7sVt4-SnbuuAgcA,Eight Sushi Lounge,$$,4.5,1389,https://www.yelp.com/biz/eight-sushi-lounge-atlanta?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '930 Howell Mill Rd NW', 'address2': 'Ste B', 'address3': None, 'city': 'Atlanta', 'zip_code': '30318', 'country': 'US', 'state': 'GA', 'display_address': ['930 Howell Mill Rd NW', 'Ste B', 'Atlanta, GA 30318']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'japanese', 'title': 'Japanese'}]"
