id,name,price,rating,review_count,url,transactions,is_closed,location,categories
iuy7Wk41ZlSzk2DhNv0ymQ,TenTen,$$$,4.3,443,https://www.yelp.com/biz/tenten-austin-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '501 W 6th St', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78701', 'country': 'US', 'state': 'TX', 'display_address': ['501 W 6th St', 'Austin, TX 78701']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
NplrGF_5kZx5K67CgxqaKg,Marufuku Ramen,$$,4.4,334,https://www.yelp.com/biz/marufuku-ramen-austin?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '1900 Aldrich St', 'address2': 'Ste 180', 'address3': None, 'city': 'Austin', 'zip_code': '78723', 'country': 'US', 'state': 'TX', 'display_address': ['1900 Aldrich St', 'Ste 180', 'Austin, TX 78723']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]"
-SDojAquZttc1TpWcsux5Q,Choo Sando Omakase,$$,4.4,120,https://www.yelp.com/biz/choo-sando-omakase-austin-7?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '5222 Burnet Rd', 'address2': 'Ste 535', 'address3': '', 'city': 'Austin', 'zip_code': '78758', 'country': 'US', 'state': 'TX', 'display_address': ['5222 Burnet Rd', 'Ste 535', 'Austin, TX 78758']}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'japanese', 'title': 'Japanese'}]"
_ApCaOQWaAwVGTlIKRpZng,DipDipDip Tatsu-Ya,$$$$,3.9,395,https://www.yelp.com/biz/dipdipdip-tatsu-ya-austin-6?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '7301 Burnet Rd', 'address2': 'Ste 101', 'address3': '', 'city': 'Austin', 'zip_code': '78757', 'country': 'US', 'state': 'TX', 'display_address': ['7301 Burnet Rd', 'Ste 101', 'Austin, TX 78757']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]"
CQZfOv-D3tylQWJicrUkUg,Craft Omakase,,4.9,19,https://www.yelp.com/biz/craft-omakase-austin?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '4400 N Lamar Blvd', 'address2': 'Ste 102', 'address3': '', 'city': 'Austin', 'zip_code': '78756', 'country': 'US', 'state': 'TX', 'display_address': ['4400 N Lamar Blvd', 'Ste 102', 'Austin, TX 78756']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]"
yqL1P6wcSZYQAgpO3TfhBQ,Kemuri Tatsu-ya,$$$,3.9,950,https://www.yelp.com/biz/kemuri-tatsu-ya-austin-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '2713 E 2nd St', 'address2': '', 'address3': None, 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['2713 E 2nd St', 'Austin, TX 78702']}","[{'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}]"
yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase,,4.4,318,https://www.yelp.com/biz/sushi-junai-omakase-austin-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['restaurant_reservation', 'delivery']",False,"{'address1': '315 Congress Ave', 'address2': 'Ste 100', 'address3': '', 'city': 'Austin', 'zip_code': '78701', 'country': 'US', 'state': 'TX', 'display_address': ['315 Congress Ave', 'Ste 100', 'Austin, TX 78701']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
Uav2xHxqZZxy4eblNB--PA,Fukumoto Sushi & Yakitori,$$$,4.3,611,https://www.yelp.com/biz/fukumoto-sushi-and-yakitori-austin?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '514 Medina St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['514 Medina St', 'Austin, TX 78702']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bars', 'title': 'Bars'}]"
g23A-0NiWi8OkEf6mynjAg,Domo Alley Gato Tatsu-Ya,$$,3.9,127,https://www.yelp.com/biz/domo-alley-gato-tatsu-ya-austin?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '1606 E 6th St', 'address2': '', 'address3': None, 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['1606 E 6th St', 'Austin, TX 78702']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
ewoEi_2LXaCxjXyFEG7_4w,Tsuke Edomae,$$$$,5.0,71,https://www.yelp.com/biz/tsuke-edomae-austin?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '4600 Mueller Blvd', 'address2': 'Ste 1035', 'address3': None, 'city': 'Austin', 'zip_code': '78723', 'country': 'US', 'state': 'TX', 'display_address': ['4600 Mueller Blvd', 'Ste 1035', 'Austin, TX 78723']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
