id,name,price,rating,review_count,url,transactions,is_closed,location,categories
JY72TrhFESLIJsXz5Na_iA,Toki Underground,$$,4.5,79,https://www.yelp.com/biz/toki-underground-baltimore?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'restaurant_reservation', 'pickup']",False,"{'address1': '2731 Greenmount Ave', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21218', 'country': 'US', 'state': 'MD', 'display_address': ['2731 Greenmount Ave', 'Baltimore, MD 21218']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
B82cpig_hNiBsM77tXMQmA,Kajiken,,4.5,92,https://www.yelp.com/biz/kajiken-baltimore?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '7 E 33rd St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21218', 'country': 'US', 'state': 'MD', 'display_address': ['7 E 33rd St', 'Baltimore, MD 21218']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
X19jig0ubkRVdHdOup5onQ,Ramen Utsuke,$$,4.4,462,https://www.yelp.com/biz/ramen-utsuke-baltimore-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '414 Light St', 'address2': 'Ste 103', 'address3': None, 'city': 'Baltimore', 'zip_code': '21202', 'country': 'US', 'state': 'MD', 'display_address': ['414 Light St', 'Ste 103', 'Baltimore, MD 21202']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
Erzc9mS35xdDtoYNv3Gkmw,Azumi,$$$,3.9,651,https://www.yelp.com/biz/azumi-baltimore?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '725 Aliceanna St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21202', 'country': 'US', 'state': 'MD', 'display_address': ['725 Aliceanna St', 'Baltimore, MD 21202']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'teppanyaki', 'title': 'Teppanyaki'}]"
H2CkERKKqTF3mBZHg9kHFQ,EJJI,,4.7,60,https://www.yelp.com/biz/ejji-baltimore-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '711 S Central Ave', 'address2': 'Fl 2', 'address3': '', 'city': 'Baltimore', 'zip_code': '21202', 'country': 'US', 'state': 'MD', 'display_address': ['711 S Central Ave', 'Fl 2', 'Baltimore, MD 21202']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
cjwEf-17d_9vZO736tW1KQ,Sushibruce Ya,,4.6,30,https://www.yelp.com/biz/sushibruce-ya-baltimore-4?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1634 Aliceanna St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['1634 Aliceanna St', 'Baltimore, MD 21231']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
wwfTFc9B_cKGE0sg-_533A,Kippo Ramen,$$,4.4,679,https://www.yelp.com/biz/kippo-ramen-baltimore?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '606 S Bdwy', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['606 S Bdwy', 'Baltimore, MD 21231']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'soup', 'title': 'Soup'}]"
ynbOCrd_UK6IyDgEamb4gw,Shoyou Sushi,$$,4.4,688,https://www.yelp.com/biz/shoyou-sushi-baltimore?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '1450 Light St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21230', 'country': 'US', 'state': 'MD', 'display_address': ['1450 Light St', 'Baltimore, MD 21230']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
6Pgn8ON83YE-cTPoOMCm-A,Dashi Ramen,,5.0,8,https://www.yelp.com/biz/dashi-ramen-baltimore?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '1065 S Charles St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21230', 'country': 'US', 'state': 'MD', 'display_address': ['1065 S Charles St', 'Baltimore, MD 21230']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]"
sGj6gCAj0McGYhBUyNrlYA,Mi & Yu Noodle Bar,$$,3.7,155,https://www.yelp.com/biz/mi-and-yu-noodle-bar-baltimore-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '711 W 40th St', 'address2': 'Ste 154', 'address3': None, 'city': 'Baltimore', 'zip_code': '21211', 'country': 'US', 'state': 'MD', 'display_address': ['711 W 40th St', 'Ste 154', 'Baltimore, MD 21211']}","[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}]"
