id,name,price,rating,review_count,url,transactions,is_closed,location,categories
m3ifi6O7ntMta8102eVgow,Uchi,$$$,4.5,889,https://www.yelp.com/biz/uchi-denver-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '2500 Lawrence St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2500 Lawrence St', 'Denver, CO 80205']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
aghAlq5-6EqLZsD75fiG3w,Izu Sushi,$$,4.1,384,https://www.yelp.com/biz/izu-sushi-denver-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '1528 E Colfax Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80218', 'country': 'US', 'state': 'CO', 'display_address': ['1528 E Colfax Ave', 'Denver, CO 80218']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
kTxz7DLRWCOGcTp8i4vJxA,Mizu Izakaya,$$,4.3,779,https://www.yelp.com/biz/mizu-izakaya-denver-6?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '1560 Boulder St', 'address2': 'Ste 100', 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['1560 Boulder St', 'Ste 100', 'Denver, CO 80211']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'ramen', 'title': 'Ramen'}]"
9jlTFXa3Pcr14BneTHCtyw,Colorado Sake,$$,4.7,218,https://www.yelp.com/biz/colorado-sake-denver-5?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '3559 Larimer St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['3559 Larimer St', 'Denver, CO 80205']}","[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
MVLOmqZiIxjsEcx7IjaFPw,JINYA Ramen Bar - Union Station,$$,4.5,609,https://www.yelp.com/biz/jinya-ramen-bar-denver-denver?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '1710 Wynkoop St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['1710 Wynkoop St', 'Denver, CO 80202']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
NGiJYiciQao11MXwl-56pg,Kawa Ni,,4.7,45,https://www.yelp.com/biz/kawa-ni-denver-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1900 W 32nd Ave', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['1900 W 32nd Ave', 'Denver, CO 80211']}","[{'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]"
ZkfyC-hNd1qNlprdr88MLA,Gyu-Kaku Japanese BBQ,$$$,4.0,317,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-denver?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '1998 18th St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['1998 18th St', 'Denver, CO 80202']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
9aZRlwqxx0r709kgOGeCcw,Uncle,$$,4.3,310,https://www.yelp.com/biz/uncle-denver-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '95 S Pennsylvania St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80209', 'country': 'US', 'state': 'CO', 'display_address': ['95 S Pennsylvania St', 'Denver, CO 80209']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
US3Sa3FhlASsY8kmZ4Wv0w,Menya Noodle Bar,$$,4.0,791,https://www.yelp.com/biz/menya-noodle-bar-denver-4?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '951 16th St', 'address2': 'Ste 104', 'address3': '', 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['951 16th St', 'Ste 104', 'Denver, CO 80202']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]"
a-DyV3DOnbylH7TAo3NP5Q,Rocky Yama Sushi,$$,4.7,228,https://www.yelp.com/biz/rocky-yama-sushi-denver?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '801 Santa Fe Dr', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80204', 'country': 'US', 'state': 'CO', 'display_address': ['801 Santa Fe Dr', 'Denver, CO 80204']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
