id,name,price,rating,review_count,url,transactions,is_closed,location,categories
yRhM23WYVMS1lYenbVjr8A,Ima Izakaya,$$,4.4,99,https://www.yelp.com/biz/ima-izakaya-detroit?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '2100 Michigan Ave', 'address2': None, 'address3': '', 'city': 'Detroit', 'zip_code': '48216', 'country': 'US', 'state': 'MI', 'display_address': ['2100 Michigan Ave', 'Detroit, MI 48216']}","[{'alias': 'izakaya', 'title': 'Izakaya'}]"
ioFyTODz0m_z8dTIidyq5A,Bash Original Izakaya,,4.5,156,https://www.yelp.com/biz/bash-original-izakaya-detroit?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '5069 Trumbull St', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48208', 'country': 'US', 'state': 'MI', 'display_address': ['5069 Trumbull St', 'Detroit, MI 48208']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]"
TkLcUfsNpPMCf-ksOv7Yeg,Ima Noodles,$$,4.3,170,https://www.yelp.com/biz/ima-detroit-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '4870 Cass Ave', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48201', 'country': 'US', 'state': 'MI', 'display_address': ['4870 Cass Ave', 'Detroit, MI 48201']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
NRGZCau3Zh19q64M-a9Yfw,Hiroki-san,,4.1,15,https://www.yelp.com/biz/hiroki-san-detroit?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1265 Washington Blvd', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48226', 'country': 'US', 'state': 'MI', 'display_address': ['1265 Washington Blvd', 'Detroit, MI 48226']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]"
qa70o0JbMVMQJf4fvWiZaw,Johnny Noodle King,$$,4.0,870,https://www.yelp.com/biz/johnny-noodle-king-detroit?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '2601 W Fort', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48216', 'country': 'US', 'state': 'MI', 'display_address': ['2601 W Fort', 'Detroit, MI 48216']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]"
ITsDoLYGtRBhKHzSSgqq0g,Fat Salmon Sushi,$$,4.3,92,https://www.yelp.com/biz/fat-salmon-sushi-hamtramck-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '11411 Joseph Campau St', 'address2': '', 'address3': None, 'city': 'Hamtramck', 'zip_code': '48212', 'country': 'US', 'state': 'MI', 'display_address': ['11411 Joseph Campau St', 'Hamtramck, MI 48212']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
-niJiIyxntNfZcLpyQ7cXA,Wasabi Korean and Japanese Cuisine,$$,3.1,333,https://www.yelp.com/biz/wasabi-korean-and-japanese-cuisine-detroit?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '15 E Kirby St', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48202', 'country': 'US', 'state': 'MI', 'display_address': ['15 E Kirby St', 'Detroit, MI 48202']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
yPHb64U8U25Ou3YQ-TSZVg,Hikari  Restaurant,$$,3.9,35,https://www.yelp.com/biz/hikari-restaurant-windsor-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '345 Victoria Avenue', 'address2': '', 'address3': '', 'city': 'Windsor', 'zip_code': 'N9A 4M7', 'country': 'CA', 'state': 'ON', 'display_address': ['345 Victoria Avenue', 'Windsor, ON N9A 4M7', 'Canada']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]"
r2I-Mo6GuHemyHLgLn4Z8Q,Sakura Hibachi Grill,,4.7,3,https://www.yelp.com/biz/sakura-hibachi-grill-detroit?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48216', 'country': 'US', 'state': 'MI', 'display_address': ['Detroit, MI 48216']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
Km_uXG1PAvUOt6xtdMS3SQ,The Sushi California,$$,3.8,56,https://www.yelp.com/biz/the-sushi-california-windsor?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '128 University Avenue W', 'address2': '', 'address3': '', 'city': 'Windsor', 'zip_code': 'N9A 5N9', 'country': 'CA', 'state': 'ON', 'display_address': ['128 University Avenue W', 'Windsor, ON N9A 5N9', 'Canada']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
