id,name,price,rating,review_count,url,transactions,is_closed,location,categories
NeTbL8JfcZikRanoWfRu0Q,Kokoro,$$,4.6,294,https://www.yelp.com/biz/kokoro-houston-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '409 Travis St', 'address2': 'Ste 366', 'address3': None, 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['409 Travis St', 'Ste 366', 'Houston, TX 77002']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]"
YsGNezfQiDJdb_bzPEhv3w,Aiko,,4.5,181,https://www.yelp.com/biz/aiko-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1902 Washington Ave', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77007', 'country': 'US', 'state': 'TX', 'display_address': ['1902 Washington Ave', 'Houston, TX 77007']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
tN0eBAxuz1xuIpcurzwEyw,Sapporo Japanese Sushi & Bar,$$,4.2,173,https://www.yelp.com/biz/sapporo-japanese-sushi-and-bar-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '801 Congress Ave', 'address2': 'Unit 101', 'address3': None, 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['801 Congress Ave', 'Unit 101', 'Houston, TX 77002']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
jVqgvF-TmbidvI_pFtJ2UQ,Horu Sushi Houston,,4.6,12,https://www.yelp.com/biz/horu-sushi-houston-houston-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '411 Smith St', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['411 Smith St', 'Houston, TX 77002']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]"
oViXbqEGv9j951j0s0KfWw,Neo,$$$$,4.9,36,https://www.yelp.com/biz/neo-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1711 Indiana St', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77006', 'country': 'US', 'state': 'TX', 'display_address': ['1711 Indiana St', 'Houston, TX 77006']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
MtrXTHsxOCw0iCtOlPhrGQ,JINYA Ramen Bar - Houston,$$,4.3,3531,https://www.yelp.com/biz/jinya-ramen-bar-houston-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '3201 Louisiana St', 'address2': 'Ste 105', 'address3': '', 'city': 'Houston', 'zip_code': '77006', 'country': 'US', 'state': 'TX', 'display_address': ['3201 Louisiana St', 'Ste 105', 'Houston, TX 77006']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
5Fs4_vjiH6uTsMm7Y0VFLw,Tins,,5.0,22,https://www.yelp.com/biz/tins-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['restaurant_reservation'],False,"{'address1': '2155 Durham Dr', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77007', 'country': 'US', 'state': 'TX', 'display_address': ['2155 Durham Dr', 'Houston, TX 77007']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
Hp0aq-U7aK1-umH0facVyQ,Koi,,4.6,86,https://www.yelp.com/biz/koi-houston-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '240 Westheimer Rd', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77006', 'country': 'US', 'state': 'TX', 'display_address': ['240 Westheimer Rd', 'Houston, TX 77006']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
seRGxqKMMBv3wCTrEcRewg,East Side King,,3.3,67,https://www.yelp.com/biz/east-side-king-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '401 Franklin St', 'address2': 'Ste 1360', 'address3': None, 'city': 'Houston', 'zip_code': '77201', 'country': 'US', 'state': 'TX', 'display_address': ['401 Franklin St', 'Ste 1360', 'Houston, TX 77201']}","[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'food_court', 'title': 'Food Court'}]"
Za5AWxhS3n7Ca2pxm8U1lw,Ramen Moto,,4.4,29,https://www.yelp.com/biz/ramen-moto-houston-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '401 Franklin Street', 'address2': None, 'address3': None, 'city': 'Houston', 'zip_code': '77201', 'country': 'US', 'state': 'TX', 'display_address': ['401 Franklin Street', 'Houston, TX 77201']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
bRoWVTwYJCQEFoAJmsCXog,Sun Japanese Kitchen,,4.9,22,https://www.yelp.com/biz/sun-japanese-kitchen-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '2802 S Shepherd Dr', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77098', 'country': 'US', 'state': 'TX', 'display_address': ['2802 S Shepherd Dr', 'Houston, TX 77098']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
ZdXWrc7G2DtQjHUn6L5TmA,Gyu-Kaku Japanese BBQ,$$$,4.0,1650,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '510 Gray St', 'address2': 'Ste A', 'address3': '', 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['510 Gray St', 'Ste A', 'Houston, TX 77002']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
OXAYCtgoCErJB6NrMDCdIg,Soto,$$$,4.2,224,https://www.yelp.com/biz/soto-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '224 Westheimer Rd', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77006', 'country': 'US', 'state': 'TX', 'display_address': ['224 Westheimer Rd', 'Houston, TX 77006']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
DYp2aPq5q8GX2_UjWlATBA,Taka,,4.5,2,https://www.yelp.com/biz/taka-houston?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '930 Main St', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['930 Main St', 'Houston, TX 77002']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
