id,name,price,rating,review_count,url,transactions,is_closed,location,categories
Xmj63oeVOWY1pYrpKtc86A,39 Degrees,$$,4.5,2476,https://www.yelp.com/biz/39-degrees-long-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '665 Redondo Ave', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '90814', 'country': 'US', 'state': 'CA', 'display_address': ['665 Redondo Ave', 'Long Beach, CA 90814']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
lRQP2ynJecwFVM0el2AC_g,Kashiwa Japanese Cuisine,$$,4.3,450,https://www.yelp.com/biz/kashiwa-japanese-cuisine-signal-hill?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '2201 E Willow St', 'address2': 'Ste G', 'address3': None, 'city': 'Signal Hill', 'zip_code': '90755', 'country': 'US', 'state': 'CA', 'display_address': ['2201 E Willow St', 'Ste G', 'Signal Hill, CA 90755']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
ntD31bhuLz2zGF8wdxlNKg,Te- Buru,$$,4.6,140,https://www.yelp.com/biz/te-buru-long-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '3850 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '90807', 'country': 'US', 'state': 'CA', 'display_address': ['3850 Atlantic Ave', 'Long Beach, CA 90807']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
l4cAhbVlBUnfBoFWcEWnMg,HiroNori Craft Ramen - Long Beach,$$,4.4,2032,https://www.yelp.com/biz/hironori-craft-ramen-long-beach-long-beach-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '610 E Carson St', 'address2': '', 'address3': None, 'city': 'Long Beach', 'zip_code': '90807', 'country': 'US', 'state': 'CA', 'display_address': ['610 E Carson St', 'Long Beach, CA 90807']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]"
IVyAZ4mnxqv8zWwpevMXtA,Donburi Cafè,$$,4.4,475,https://www.yelp.com/biz/donburi-caf%C3%A8-long-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '245 Pine Ave', 'address2': 'Ste 120', 'address3': '', 'city': 'Long Beach', 'zip_code': '90802', 'country': 'US', 'state': 'CA', 'display_address': ['245 Pine Ave', 'Ste 120', 'Long Beach, CA 90802']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
3Y9-VPkXGJQWg5sTvvh63Q,Osaka Story,,4.8,84,https://www.yelp.com/biz/osaka-story-long-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '4905 2nd St', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '90803', 'country': 'US', 'state': 'CA', 'display_address': ['4905 2nd St', 'Long Beach, CA 90803']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]"
3Vst1jE6kBv77kV4zlV7lw,Torisho,$$,4.3,143,https://www.yelp.com/biz/torisho-long-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '730 Long Beach Blvd', 'address2': '', 'address3': None, 'city': 'Long Beach', 'zip_code': '90813', 'country': 'US', 'state': 'CA', 'display_address': ['730 Long Beach Blvd', 'Long Beach, CA 90813']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
_a8QzIDIZZFbtomDqxbGAQ,Mad Dumplings - Long Beach,$$,3.9,154,https://www.yelp.com/biz/mad-dumplings-long-beach-long-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '5718 E 7th St', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '90803', 'country': 'US', 'state': 'CA', 'display_address': ['5718 E 7th St', 'Long Beach, CA 90803']}","[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'japanese', 'title': 'Japanese'}]"
y0duYaygC4twlJA3K3h9Ig,Sushi Nikkei - Bixby Knolls ,$$$,4.5,276,https://www.yelp.com/biz/sushi-nikkei-bixby-knolls-long-beach-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '3819 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '90807', 'country': 'US', 'state': 'CA', 'display_address': ['3819 Atlantic Ave', 'Long Beach, CA 90807']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
PTyYMfmR1iqxvLfEiSlGbw,Hungry Horse Drive-In,$,4.3,193,https://www.yelp.com/biz/hungry-horse-drive-in-long-beach-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '454 W Willow St', 'address2': '', 'address3': '', 'city': 'Long Beach', 'zip_code': '90806', 'country': 'US', 'state': 'CA', 'display_address': ['454 W Willow St', 'Long Beach, CA 90806']}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
