id,name,price,rating,review_count,url,transactions,is_closed,location,categories
cmnPce3LNnQGTRRtTygR_g,Jarana,,4.7,14,https://www.yelp.com/biz/jarana-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '726 SE Grand Ave', 'address2': None, 'address3': '', 'city': 'Portland', 'zip_code': '97214', 'country': 'US', 'state': 'OR', 'display_address': ['726 SE Grand Ave', 'Portland, OR 97214']}","[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]"
8D7DmBP1VV72ap40jRnYKw,Janken,$$$$,4.3,282,https://www.yelp.com/biz/janken-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '250 NW 13th Ave', 'address2': '', 'address3': None, 'city': 'Portland', 'zip_code': '97209', 'country': 'US', 'state': 'OR', 'display_address': ['250 NW 13th Ave', 'Portland, OR 97209']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
fxTwO4KSP05chyZTBva2GA,Obon Shokudo,$$,4.5,180,https://www.yelp.com/biz/obon-shokudo-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '720 SE Grand Ave', 'address2': None, 'address3': '', 'city': 'Portland', 'zip_code': '97214', 'country': 'US', 'state': 'OR', 'display_address': ['720 SE Grand Ave', 'Portland, OR 97214']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
Khnmn7dwavwZbsuxBebggA,AFURI IZAKAYA,$$,3.9,1026,https://www.yelp.com/biz/afuri-izakaya-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '923 SE 7th Ave', 'address2': None, 'address3': '', 'city': 'Portland', 'zip_code': '97214', 'country': 'US', 'state': 'OR', 'display_address': ['923 SE 7th Ave', 'Portland, OR 97214']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
90nu9SmFfQaXsoWoZGB0mQ,Murata Restaurant,$$,4.4,421,https://www.yelp.com/biz/murata-restaurant-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '200 SW Market St', 'address2': '', 'address3': '', 'city': 'Portland', 'zip_code': '97201', 'country': 'US', 'state': 'OR', 'display_address': ['200 SW Market St', 'Portland, OR 97201']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
QrvhRSVPAuRLeIXcnnCGKQ,Yokohama Skyline Eatery,$$,4.7,55,https://www.yelp.com/biz/yokohama-skyline-eatery-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '33 NE 3rd Ave', 'address2': 'Ste 325', 'address3': '', 'city': 'Portland', 'zip_code': '97232', 'country': 'US', 'state': 'OR', 'display_address': ['33 NE 3rd Ave', 'Ste 325', 'Portland, OR 97232']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
zntxYaRhRfACf6UDn2r3JA,Portland Food Hall,,4.6,7,https://www.yelp.com/biz/portland-food-hall-portland-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '827 SW 2nd Ave', 'address2': '', 'address3': None, 'city': 'Portland', 'zip_code': '97204', 'country': 'US', 'state': 'OR', 'display_address': ['827 SW 2nd Ave', 'Portland, OR 97204']}","[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'japanese', 'title': 'Japanese'}]"
D5OHLQvanDeQoZdX-oWiaw,Lilia Comedor,,4.6,56,https://www.yelp.com/biz/lilia-comedor-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '3159 S Moody Ave', 'address2': '', 'address3': None, 'city': 'Portland', 'zip_code': '97239', 'country': 'US', 'state': 'OR', 'display_address': ['3159 S Moody Ave', 'Portland, OR 97239']}","[{'alias': 'french', 'title': 'French'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'japanese', 'title': 'Japanese'}]"
DdJYvB_PCiS4I9lsQ-v4TQ,Wu-Rons,,4.6,71,https://www.yelp.com/biz/wu-rons-portland-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '1430 SE Water Ave', 'address2': None, 'address3': '', 'city': 'Portland', 'zip_code': '97214', 'country': 'US', 'state': 'OR', 'display_address': ['1430 SE Water Ave', 'Portland, OR 97214']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]"
NDyx6d5639qT8Lw4mDFg0Q,Wa Kitchen Kuu,$$,4.5,181,https://www.yelp.com/biz/wa-kitchen-kuu-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '125 NE Martin Luther King Jr Blvd', 'address2': '', 'address3': None, 'city': 'Portland', 'zip_code': '97232', 'country': 'US', 'state': 'OR', 'display_address': ['125 NE Martin Luther King Jr Blvd', 'Portland, OR 97232']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
xpRMJWJUH2eN4GcsB-1Icw,Ramen Ryoma,$$,4.4,190,https://www.yelp.com/biz/ramen-ryoma-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '1037 SW Morrison St', 'address2': '', 'address3': None, 'city': 'Portland', 'zip_code': '97205', 'country': 'US', 'state': 'OR', 'display_address': ['1037 SW Morrison St', 'Portland, OR 97205']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'izakaya', 'title': 'Izakaya'}]"
dNuHmxjReW8CFxq8ap1Qsw,Tomo Ramen,$$,4.5,60,https://www.yelp.com/biz/tomo-ramen-portland?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '3545 SE Hawthorne Blvd', 'address2': None, 'address3': None, 'city': 'Portland', 'zip_code': '97214', 'country': 'US', 'state': 'OR', 'display_address': ['3545 SE Hawthorne Blvd', 'Portland, OR 97214']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
