id,name,price,rating,review_count,url,transactions,is_closed,location,categories
fxnDUfTCbJbE_gfnRcuk1Q,Gen Ramen,$$,4.8,76,https://www.yelp.com/biz/gen-ramen-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '2330 Bale St', 'address2': None, 'address3': '', 'city': 'Raleigh', 'zip_code': '27608', 'country': 'US', 'state': 'NC', 'display_address': ['2330 Bale St', 'Raleigh, NC 27608']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
emIw8zjs7FUKz3Vxd8RkZw,Sushi Mon,$$,4.6,366,https://www.yelp.com/biz/sushi-mon-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '3800 Glenwood Ave', 'address2': 'Ste 100', 'address3': '', 'city': 'Raleigh', 'zip_code': '27612', 'country': 'US', 'state': 'NC', 'display_address': ['3800 Glenwood Ave', 'Ste 100', 'Raleigh, NC 27612']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
rh4FONd45TkQz2Dqs34hQQ,O-Ku,$$,4.4,292,https://www.yelp.com/biz/o-ku-raleigh-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '411 W Hargett St', 'address2': None, 'address3': '', 'city': 'Raleigh', 'zip_code': '27603', 'country': 'US', 'state': 'NC', 'display_address': ['411 W Hargett St', 'Raleigh, NC 27603']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
5X6TO6G4PzEeuedPoi2wuQ,Miso Ramen Bar,$$,4.6,99,https://www.yelp.com/biz/miso-ramen-bar-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '2409 Crabtree Blvd', 'address2': 'Ste 104', 'address3': None, 'city': 'Raleigh', 'zip_code': '27604', 'country': 'US', 'state': 'NC', 'display_address': ['2409 Crabtree Blvd', 'Ste 104', 'Raleigh, NC 27604']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
lc_XHCvUoddQoTcd6YR1eQ,Ajisai Japanese Fusion,$$,4.2,677,https://www.yelp.com/biz/ajisai-japanese-fusion-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '427 Woodburn Rd', 'address2': None, 'address3': '', 'city': 'Raleigh', 'zip_code': '27605', 'country': 'US', 'state': 'NC', 'display_address': ['427 Woodburn Rd', 'Raleigh, NC 27605']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
uKYtMADSCAZ6dxiTXoDZXQ,Iso Iso Ramen & Bar,$$,4.0,103,https://www.yelp.com/biz/iso-iso-ramen-and-bar-raleigh-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup', 'restaurant_reservation']",False,"{'address1': '402 Oberlin Rd', 'address2': 'Ste 120', 'address3': None, 'city': 'Raleigh', 'zip_code': '27605', 'country': 'US', 'state': 'NC', 'display_address': ['402 Oberlin Rd', 'Ste 120', 'Raleigh, NC 27605']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
WSt6g51_xXlAJ-BsEiS6ow,Yatai Market,,4.3,6,https://www.yelp.com/biz/yatai-market-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '500 E Davie St', 'address2': None, 'address3': 'Transfer Co Food Hall', 'city': 'Raleigh', 'zip_code': '27601', 'country': 'US', 'state': 'NC', 'display_address': ['500 E Davie St', 'Transfer Co Food Hall', 'Raleigh, NC 27601']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]"
Xa0qNKwwjkYrzx4ePPe9Eg,ShabaShabu,$$,3.4,426,https://www.yelp.com/biz/shabashabu-raleigh-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '3080 Wake Forest Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27609', 'country': 'US', 'state': 'NC', 'display_address': ['3080 Wake Forest Rd', 'Raleigh, NC 27609']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
S_iZrmUxlTOE4RyC3IK7jQ,Sono Sushi,$$,4.3,619,https://www.yelp.com/biz/sono-sushi-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '319 Fayetteville St', 'address2': 'Ste 101', 'address3': '', 'city': 'Raleigh', 'zip_code': '27601', 'country': 'US', 'state': 'NC', 'display_address': ['319 Fayetteville St', 'Ste 101', 'Raleigh, NC 27601']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
aHj94aljlCNA7U6AXP136w,Hako Japanese Restaurant,$$,3.7,88,https://www.yelp.com/biz/hako-japanese-restaurant-raleigh?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '2603-155 Glenwood Ave', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27608', 'country': 'US', 'state': 'NC', 'display_address': ['2603-155 Glenwood Ave', 'Raleigh, NC 27608']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
