id,name,price,rating,review_count,url,transactions,is_closed,location,categories
8aUAFZSENBgdC17hPpKp5g,Wild Goji Restaurant & Bar,$$,4.3,1210,https://www.yelp.com/biz/wild-goji-restaurant-and-bar-san-antonio-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['restaurant_reservation', 'delivery']",False,"{'address1': '7115 Blanco Rd', 'address2': 'Ste 110', 'address3': '', 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['7115 Blanco Rd', 'Ste 110', 'San Antonio, TX 78216']}","[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]"
lWHzM8SEAyrh6SHgtKG6ZQ,Mr Teriyaki,$$,4.4,93,https://www.yelp.com/biz/mr-teriyaki-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '6824 San Pedro Ave', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['6824 San Pedro Ave', 'San Antonio, TX 78216']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
0KczvSbrDfq9lHm7ZtF2rQ,Piranha Izakaya,$$,4.3,498,https://www.yelp.com/biz/piranha-izakaya-san-antonio-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['restaurant_reservation', 'delivery']",False,"{'address1': '260 E Basse Rd', 'address2': 'Ste 101', 'address3': None, 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['260 E Basse Rd', 'Ste 101', 'San Antonio, TX 78209']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
MwLxrmxqIyECExeLHMq1zA,Kura Revolving Sushi Bar,$$,3.4,305,https://www.yelp.com/biz/kura-revolving-sushi-bar-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '255 E Basse Rd', 'address2': 'Ste 384', 'address3': None, 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['255 E Basse Rd', 'Ste 384', 'San Antonio, TX 78209']}","[{'alias': 'conveyorsushi', 'title': 'Conveyor Belt Sushi'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
ALvnkEslYbM7M6yAV3E-3w,Hanamaru Cafe,,4.2,97,https://www.yelp.com/biz/hanamaru-cafe-san-antonio-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '7460 Callaghan Rd', 'address2': 'Ste 333', 'address3': None, 'city': 'San Antonio', 'zip_code': '78229', 'country': 'US', 'state': 'TX', 'display_address': ['7460 Callaghan Rd', 'Ste 333', 'San Antonio, TX 78229']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
2oSsvwp75RbMppof_6EF_Q,Nineteen Hyaku,,3.8,70,https://www.yelp.com/biz/nineteen-hyaku-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1900 Broadway', 'address2': 'Ste 119', 'address3': None, 'city': 'San Antonio', 'zip_code': '78215', 'country': 'US', 'state': 'TX', 'display_address': ['1900 Broadway', 'Ste 119', 'San Antonio, TX 78215']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
0IztAsYiVX5GRh39yW0fkw,Sushishima - Castle Hills,$$,4.7,256,https://www.yelp.com/biz/sushishima-castle-hills-castle-hills-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['pickup'],False,"{'address1': '2211 NW Military Hwy', 'address2': 'Ste 132', 'address3': '', 'city': 'Castle Hills', 'zip_code': '78213', 'country': 'US', 'state': 'TX', 'display_address': ['2211 NW Military Hwy', 'Ste 132', 'Castle Hills, TX 78213']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
D4nebJywd4BEOV8g0t__tw,Sushihana Japanese Restaurant,$$,4.2,613,https://www.yelp.com/biz/sushihana-japanese-restaurant-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '1810 NW Military Hwy', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78213', 'country': 'US', 'state': 'TX', 'display_address': ['1810 NW Military Hwy', 'San Antonio, TX 78213']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
_oWFFrcjfzZlA9g8-WJc2Q,Jingu House At the Japanese Tea Garden,,4.1,14,https://www.yelp.com/biz/jingu-house-at-the-japanese-tea-garden-san-antonio-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': ""3853 N St Mary's St"", 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78212', 'country': 'US', 'state': 'TX', 'display_address': [""3853 N St Mary's St"", 'San Antonio, TX 78212']}","[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
qD47Ydn58ygmUvWBXYTJjA,Sumo Japanese Steakhouse,$$$,3.4,531,https://www.yelp.com/biz/sumo-japanese-steakhouse-san-antonio-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '8342 W IH-10', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78230', 'country': 'US', 'state': 'TX', 'display_address': ['8342 W IH-10', 'San Antonio, TX 78230']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
FpU79pof8xQuU4UmCujDzw,Koi Kawa Japanese Restaurant & Sushi Bar,$$,3.8,367,https://www.yelp.com/biz/koi-kawa-japanese-restaurant-and-sushi-bar-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '4051 Broadway St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['4051 Broadway St', 'San Antonio, TX 78209']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
JjsYHbj9WqAJAomKnB1KUQ,Izu sushi and poke,,4.1,25,https://www.yelp.com/biz/izu-sushi-and-poke-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '427 Lombrano St', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78207', 'country': 'US', 'state': 'TX', 'display_address': ['427 Lombrano St', 'San Antonio, TX 78207']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
6SaqeZ2E2Np7usJwSxnXwg,Godai,$$,4.0,408,https://www.yelp.com/biz/godai-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '11203 W Ave', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78213', 'country': 'US', 'state': 'TX', 'display_address': ['11203 W Ave', 'San Antonio, TX 78213']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
1YpQfBSWeHNzJ_n3E17Xkg,Kobe Japanese Steak House,$$,3.0,245,https://www.yelp.com/biz/kobe-japanese-steak-house-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '1007 NW Lp 410', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78213', 'country': 'US', 'state': 'TX', 'display_address': ['1007 NW Lp 410', 'San Antonio, TX 78213']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
Fuw5xQiM4GCHsi0DWb2PyQ,Wasabi,$$,4.0,438,https://www.yelp.com/biz/wasabi-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '9921 W Interstate 10', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78230', 'country': 'US', 'state': 'TX', 'display_address': ['9921 W Interstate 10', 'San Antonio, TX 78230']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]"
w_dZ3beSUs_wwkkPudBrsw,Osaka Japanese Steak & Sushi,$$,3.3,368,https://www.yelp.com/biz/osaka-japanese-steak-and-sushi-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,"{'address1': '4902 Broadway St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['4902 Broadway St', 'San Antonio, TX 78209']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'teppanyaki', 'title': 'Teppanyaki'}]"
GPXQ90rtOoOqK8eXvK6sNg,Yoyo Ramen,,2.8,9,https://www.yelp.com/biz/yoyo-ramen-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '2301 San Pedro Ave', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78212', 'country': 'US', 'state': 'TX', 'display_address': ['2301 San Pedro Ave', 'San Antonio, TX 78212']}","[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'ramen', 'title': 'Ramen'}]"
BLt5gHBosa2FnPp5jQdGoQ,Tokyo Steakhouse,$$,2.6,82,https://www.yelp.com/biz/tokyo-steakhouse-san-antonio?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '9405 San Pedro Ave', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['9405 San Pedro Ave', 'San Antonio, TX 78216']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
