id,name,price,rating,review_count,url,transactions,is_closed,location,categories
3StNEgKAwpCFR1q0urmJrw,Raijin Ramen,$$,4.3,735,https://www.yelp.com/biz/raijin-ramen-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '2995 E Speedway', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85716', 'country': 'US', 'state': 'AZ', 'display_address': ['2995 E Speedway', 'Tucson, AZ 85716']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
K6ORcbEU1vpC0E7F3qes3Q,Kukai,$$,4.4,207,https://www.yelp.com/biz/kukai-tucson-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '267 S Avenida Del Convento', 'address2': 'Ste 11', 'address3': None, 'city': 'Tucson', 'zip_code': '85745', 'country': 'US', 'state': 'AZ', 'display_address': ['267 S Avenida Del Convento', 'Ste 11', 'Tucson, AZ 85745']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
kPPqLVzOGqOyHvhfjrDRQg,Maru Plus,,3.6,22,https://www.yelp.com/biz/maru-plus-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '2741 N Campbell Ave', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85719', 'country': 'US', 'state': 'AZ', 'display_address': ['2741 N Campbell Ave', 'Tucson, AZ 85719']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'noodles', 'title': 'Noodles'}]"
8Vk_2t7hQI02IhpcRnfAIw,OBON Sushi Bar Ramen,$$,3.9,884,https://www.yelp.com/biz/obon-sushi-bar-ramen-tucson-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '350 E Congress St', 'address2': '', 'address3': '', 'city': 'Tucson', 'zip_code': '85701', 'country': 'US', 'state': 'AZ', 'display_address': ['350 E Congress St', 'Tucson, AZ 85701']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
VQUy6fKzq_3UcuBCd5FohA,JA Ramen Curry,,4.4,26,https://www.yelp.com/biz/ja-ramen-curry-tucson-6?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '54 W Congress St', 'address2': None, 'address3': '', 'city': 'Tucson', 'zip_code': '85701', 'country': 'US', 'state': 'AZ', 'display_address': ['54 W Congress St', 'Tucson, AZ 85701']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
TLGDPigfdHy_MXpgSCCPjg,Mian Sichuan,$$,4.2,165,https://www.yelp.com/biz/mian-sichuan-tucson-5?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '4695 N Oracle Rd', 'address2': 'Ste 105', 'address3': '', 'city': 'Tucson', 'zip_code': '85705', 'country': 'US', 'state': 'AZ', 'display_address': ['4695 N Oracle Rd', 'Ste 105', 'Tucson, AZ 85705']}","[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'ramen', 'title': 'Ramen'}]"
t-abv5g6bjbYwLerN_4VKw,Samurai,$$,4.2,219,https://www.yelp.com/biz/samurai-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '3912 N Oracle Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Tucson', 'zip_code': '85705', 'country': 'US', 'state': 'AZ', 'display_address': ['3912 N Oracle Rd', 'Ste 100', 'Tucson, AZ 85705']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
PvClAHXbI_DzGA5mmmUqAg,Toss-Fried Chicken and Ramen,$$,4.4,150,https://www.yelp.com/biz/toss-fried-chicken-and-ramen-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1655 S Alvernon Way', 'address2': None, 'address3': None, 'city': 'Tucson', 'zip_code': '85711', 'country': 'US', 'state': 'AZ', 'display_address': ['1655 S Alvernon Way', 'Tucson, AZ 85711']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]"
8Mzu_wczdzv9dU_Gr6OR8A,Kazoku,$$,4.2,490,https://www.yelp.com/biz/kazoku-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '4210 E Speedway Blvd', 'address2': '', 'address3': '', 'city': 'Tucson', 'zip_code': '85712', 'country': 'US', 'state': 'AZ', 'display_address': ['4210 E Speedway Blvd', 'Tucson, AZ 85712']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
9Wq455RePLf5wbp4C4noQA,JA Ramen Curry,$$,3.9,254,https://www.yelp.com/biz/ja-ramen-curry-tucson-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '2643 N Campbell Ave', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85719', 'country': 'US', 'state': 'AZ', 'display_address': ['2643 N Campbell Ave', 'Tucson, AZ 85719']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
EwWcloIMj8zflH5Dc16-nw,Yamato,$$,4.0,223,https://www.yelp.com/biz/yamato-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '857 E Grant Rd', 'address2': '', 'address3': '', 'city': 'Tucson', 'zip_code': '85719', 'country': 'US', 'state': 'AZ', 'display_address': ['857 E Grant Rd', 'Tucson, AZ 85719']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
EoCprmFC0Gxss0T0_KeWTw,Fatboy Sandos,$$,4.2,39,https://www.yelp.com/biz/fatboy-sandos-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '1439 S 4th Ave', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85713', 'country': 'US', 'state': 'AZ', 'display_address': ['1439 S 4th Ave', 'Tucson, AZ 85713']}","[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
tlmxMUrk9xRvYzH0xo1Olg,Kiwami Ramen,$$,4.1,263,https://www.yelp.com/biz/kiwami-ramen-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '4610 E Speedway Blvd', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85712', 'country': 'US', 'state': 'AZ', 'display_address': ['4610 E Speedway Blvd', 'Tucson, AZ 85712']}","[{'alias': 'ramen', 'title': 'Ramen'}]"
p7tSGmWpFV246aYhwODgBg,O Sushi Restaurant,$$,4.5,256,https://www.yelp.com/biz/o-sushi-restaurant-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '4689 E Speedway Blvd', 'address2': None, 'address3': '', 'city': 'Tucson', 'zip_code': '85712', 'country': 'US', 'state': 'AZ', 'display_address': ['4689 E Speedway Blvd', 'Tucson, AZ 85712']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
UY64oXJJejthLmZknwmTuQ,Samurai Teppan Steak And Sushi,,5.0,2,https://www.yelp.com/biz/samurai-teppan-steak-and-sushi-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '5050 E Broadway Blvd', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85711', 'country': 'US', 'state': 'AZ', 'display_address': ['5050 E Broadway Blvd', 'Tucson, AZ 85711']}","[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
31lLDAsFtlWvqROMA1bSgw,Sakari Sushi,,3.8,70,https://www.yelp.com/biz/sakari-sushi-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '2962 N Campbell Ave', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85719', 'country': 'US', 'state': 'AZ', 'display_address': ['2962 N Campbell Ave', 'Tucson, AZ 85719']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
3xRzdVJNbUCZcqfJdi5g0Q,Toss,,4.5,46,https://www.yelp.com/biz/toss-tucson?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '1655 S Alvernon Way', 'address2': '', 'address3': None, 'city': 'Tucson', 'zip_code': '85711', 'country': 'US', 'state': 'AZ', 'display_address': ['1655 S Alvernon Way', 'Tucson, AZ 85711']}","[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'ramen', 'title': 'Ramen'}]"
