id,name,price,rating,review_count,url,transactions,is_closed,location,categories
fQhYS_Foz-GRCJCRGCkh4w,Twisted Cafe,$,4.4,197,https://www.yelp.com/biz/twisted-cafe-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '315 N Great Neck Rd', 'address2': 'Ste 308', 'address3': None, 'city': 'Virginia Beach', 'zip_code': '23454', 'country': 'US', 'state': 'VA', 'display_address': ['315 N Great Neck Rd', 'Ste 308', 'Virginia Beach, VA 23454']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]"
uzycgwOorjyGoerz5APVcg,Oishii Burger,$$,4.3,354,https://www.yelp.com/biz/oishii-burger-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '4402 Princess Anne Rd', 'address2': 'Ste 111', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23462', 'country': 'US', 'state': 'VA', 'display_address': ['4402 Princess Anne Rd', 'Ste 111', 'Virginia Beach, VA 23462']}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'ramen', 'title': 'Ramen'}]"
jC5qTv-5jivlJmABQlj5uQ,Volcano,,4.2,74,https://www.yelp.com/biz/volcano-virginia-beach-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '4830 Virginia Beach Blvd', 'address2': 'Unit A', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23462', 'country': 'US', 'state': 'VA', 'display_address': ['4830 Virginia Beach Blvd', 'Unit A', 'Virginia Beach, VA 23462']}","[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]"
V2a8or-femnHA59LJTC87g,Forbidden Palace,$$,3.9,150,https://www.yelp.com/biz/forbidden-palace-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '3333 Virginia Beach Blvd', 'address2': 'Ste 34', 'address3': 'Princess Anne Plaza Shopping Center', 'city': 'Virginia Beach', 'zip_code': '23452', 'country': 'US', 'state': 'VA', 'display_address': ['3333 Virginia Beach Blvd', 'Ste 34', 'Princess Anne Plaza Shopping Center', 'Virginia Beach, VA 23452']}","[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}]"
MDRfn8_uDiMc_LqbSo4mLg,Molly Ramen Poke Tea,$$,4.0,145,https://www.yelp.com/biz/molly-ramen-poke-tea-virginia-beach-7?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '869 Lynnhaven Pkwy', 'address2': 'Ste 109', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23452', 'country': 'US', 'state': 'VA', 'display_address': ['869 Lynnhaven Pkwy', 'Ste 109', 'Virginia Beach, VA 23452']}","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'poke', 'title': 'Poke'}]"
oG2f1PKiE857_pU9N5iteQ,Nara Sushi Japanese Restaurant,$$,4.5,256,https://www.yelp.com/biz/nara-sushi-japanese-restaurant-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '1115 Independence Blvd', 'address2': 'Ste 104', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23455', 'country': 'US', 'state': 'VA', 'display_address': ['1115 Independence Blvd', 'Ste 104', 'Virginia Beach, VA 23455']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
Ol_RwpKRAUHgLYy69Ml0mA,O’ Yummy Sushi,$$,3.9,208,https://www.yelp.com/biz/o-yummy-sushi-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '401 N Great Neck Rd', 'address2': '', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23454', 'country': 'US', 'state': 'VA', 'display_address': ['401 N Great Neck Rd', 'Virginia Beach, VA 23454']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'salad', 'title': 'Salad'}]"
Ai5BSHnIFgAtX2O4aAaBdA,Domoishi,$$,3.8,82,https://www.yelp.com/biz/domoishi-virginia-beach-8?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '3545 Buckner Blvd', 'address2': 'Ste 106', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23453', 'country': 'US', 'state': 'VA', 'display_address': ['3545 Buckner Blvd', 'Ste 106', 'Virginia Beach, VA 23453']}","[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'ramen', 'title': 'Ramen'}]"
cOurKjIgHiBR9QmPzrS0Vw,Yamachen's sushi,$$,4.5,131,https://www.yelp.com/biz/yamachens-sushi-virginia-beach-4?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '750 Independence Blvd', 'address2': 'Ste 4564', 'address3': None, 'city': 'Virginia Beach', 'zip_code': '23455', 'country': 'US', 'state': 'VA', 'display_address': ['750 Independence Blvd', 'Ste 4564', 'Virginia Beach, VA 23455']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
0SGnXKu2oTKry0UVyil-_g,Sumo Japanese Steak House & Sushi Bar,$$,3.3,160,https://www.yelp.com/biz/sumo-japanese-steak-house-and-sushi-bar-virginia-beach-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,"{'address1': '116 S Independence Blvd', 'address2': None, 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23462', 'country': 'US', 'state': 'VA', 'display_address': ['116 S Independence Blvd', 'Virginia Beach, VA 23462']}","[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
qf_v-HYlZA8jbueCipcBHg,Flaming Japan,$,3.9,111,https://www.yelp.com/biz/flaming-japan-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,"{'address1': '3545 Buckner Blvd', 'address2': 'Ste 109', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23453', 'country': 'US', 'state': 'VA', 'display_address': ['3545 Buckner Blvd', 'Ste 109', 'Virginia Beach, VA 23453']}","[{'alias': 'japanese', 'title': 'Japanese'}]"
ff-iJJTXWjsMqr9v71_-2g,Sakura Sushi Bar Japanese Restaurant,$$,3.7,448,https://www.yelp.com/biz/sakura-sushi-bar-japanese-restaurant-virginia-beach?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,"{'address1': '2029 S Lynnhaven Pkwy', 'address2': 'Ste 450', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23456', 'country': 'US', 'state': 'VA', 'display_address': ['2029 S Lynnhaven Pkwy', 'Ste 450', 'Virginia Beach, VA 23456']}","[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
